id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
625367891459020288,APPARTAMENTO DI 70MQ - FIRENZE CENTRO,11701916,Home Boutique SMN,,Centro Storico,43.77575790181311,11.244853174955825,Entire home/apt,350,1,0,,,11,328,0,
625382852810954270,ELEGANTE APPARTAMENTO DI 70MQ - FIRENZE CENTRO,11701916,Home Boutique SMN,,Centro Storico,43.77412,11.24496,Entire home/apt,350,1,0,,,11,321,0,
625873863093922485,Singola in appartamento incantevole in centro,66886740,Rosanna,,Centro Storico,43.77552,11.251741,Private room,20,28,0,,,10,72,0,
626110069015816490,Stanza privata Cascine - Manifattura Tabacchi,7398481,Ornella,,Centro Storico,43.78756952340921,11.218360910370743,Private room,200,1,0,,,2,1,0,
626251391400973829,Residenza Quartieri Storici - S.Maria suite 4,2966846,Francesco,,Centro Storico,43.77497637340218,11.254705226587504,Private room,272,1,2,2022-06-06,2,10,354,2,
626472651855350010,The cradle of Galileo Galilei,31312727,Gennaro,,Centro Storico,43.767310987124084,11.245455356378745,Entire home/apt,117,2,0,,,2,308,0,
618660796640549643,Torre dei Giudi cozy apartment,96122546,CleanBnB Team,,Centro Storico,43.76936,11.253685,Entire home/apt,147,2,0,,,104,322,0,
626719348381011788,AdryHome-FLORENCE ROOM,446759823,Adriana,,Centro Storico,43.76984204068414,11.241140784817985,Private room,50,2,0,,,2,211,0,
626798482465159708,Stylish private room and bathroom on Arno,6217038,Helen,,Centro Storico,43.76815605808722,11.258274436181665,Private room,200,1,1,2022-05-29,1,2,345,1,
626918753306003774,Pinocchio' s house in the center of Florence,165707464,Marco,,Centro Storico,43.77624284233341,11.25118304830779,Entire home/apt,236,1,3,2022-06-01,3,1,165,3,
627603080703490542,Zona Fortezza Mansarda con terrazza jacuzzi A/C,96514403,Monica,,Centro Storico,43.782577937044,11.25599770369587,Entire home/apt,206,3,2,2022-06-08,2,7,172,2,
612184035217733512,avenue apartment in Florence,455782380,Sandra,,Campo di Marte,43.783748366072984,11.276665280664426,Entire home/apt,100,2,0,,,1,335,0,
612220456181408524,Conti apartment,1369058,Lorenzo,,Gavinana Galluzzo,43.762686873070834,11.28131874255105,Entire home/apt,99,3,1,2022-06-03,1,11,360,1,
612746250159803275,Cozy Suite in San Frediano area,4605211,Mariangela,,Centro Storico,43.76901766250576,11.243701935068742,Entire home/apt,112,4,3,2022-06-09,3,9,236,3,048017LTI7147
612824297075424863,Tiny Suite in San Frediano area,4605211,Mariangela,,Centro Storico,43.76837,11.24371,Entire home/apt,110,4,0,,,9,318,0,048017LTI7167
612877676009425052,La casa di Pepe,455945972,Federica,,Gavinana Galluzzo,43.749793369123665,11.235119986258264,Entire home/apt,70,1,9,2022-06-03,6.14,1,317,9,
618794796856208242,"Casa Verdi - 2 bedroom, 3 guests.",263479973,Emanuele,,Centro Storico,43.7866300745734,11.231711566952711,Entire home/apt,99,2,0,,,1,262,0,
613326693548054511,Designer Apartment in  Central Florence-Hosted by Sweetstay,76556384,Andrea,,Centro Storico,43.7779,11.25046,Entire home/apt,105,1,0,,,54,338,0,
613410928009886523,Big Bedroom with Private Bathroom CenterFlorence,130133830,Dr. Miss,,Centro Storico,43.772732,11.26502,Private room,50,4,1,2022-05-14,1,5,19,1,
613421460817932636,Torre Martellini della Cerva,456083041,Angelica,,Centro Storico,43.772403480131935,11.260175272784958,Entire home/apt,280,3,2,2022-06-09,2,1,292,2,
613448058248285386,Comfortable Flat with Lift and Parking,70226880,Jonny,,Rifredi,43.789898,11.219769,Entire home/apt,106,1,4,2022-05-24,2.93,14,117,4,
613516969392750074,Il Nido Fiorentino,455903835,Guglielmo,,Centro Storico,43.76888024488069,11.26468059980591,Entire home/apt,66,2,13,2022-06-08,9.75,1,306,13,048017LTN2396
613582597458277924,Magnifico Messere Studio in amazing Oltrarno,456119248,Laura,,Centro Storico,43.768158,11.24552,Entire home/apt,197,2,1,2022-05-23,1,2,133,1,
614108000471744423,Welcome to InFlorence Guest House,456249032,Golden Leaf,,Centro Storico,43.781685,11.261368,Entire home/apt,168,6,0,,,1,143,0,
614125062392745628,Il Cavalierino 2,50175886,Elisa,,Centro Storico,43.775109922069795,11.24643081271939,Entire home/apt,100,1,1,2022-06-07,1,2,99,1,
627960368736666153,"5 bedrooms villa with private pool, enclosed garden and wifi at Firenze",432533634,"Loic, Estelle And Co",,Gavinana Galluzzo,43.745628,11.235859,Entire home/apt,1299,1,0,,,1,364,0,
627976156454552471,Dante B Apartment,452968112,Istay,,Centro Storico,43.771049,11.257497,Entire home/apt,364,1,0,,,28,14,0,
628031612745357988,Dante D Apartment,452968112,Istay,,Centro Storico,43.771049,11.257497,Entire home/apt,367,1,0,,,28,27,0,
628032206503610311,Via del Corso Apartment,452968112,Istay,,Centro Storico,43.771633,11.256153,Entire home/apt,457,1,0,,,28,15,0,
628049867700090129,Appartamento Zanobi,452968112,Istay,,Centro Storico,43.778584,11.255328,Entire home/apt,475,1,0,,,28,15,0,
628055151976628321,Palazzo Del Pugliese Suite,211294877,Sofia,,Centro Storico,43.76407420350711,11.244507768062359,Entire home/apt,105,2,3,2022-05-30,3,1,259,3,
628116764794638707,CDT Duomo,452968112,Istay,,Centro Storico,43.77161026246979,11.253987706543985,Entire home/apt,787,1,0,,,28,115,0,
618842978751227434,Colonna Frescobaldi Apartment (1AB),5228552,Stefano,,Centro Storico,43.77525423770216,11.265402204263824,Entire home/apt,160,2,0,,,36,28,0,
